,Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Job Satisfaction Status,Age Bucket
0,Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-1,1.0,Female,Sales Executive,Single,Yes,Y,0,41,0,1102,1,Associates Degree,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5,Very Dissatisfied ,36-45
1,No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2,2.0,Male,Research Scientist,Married,No,Y,3,49,1,279,8,High School,1,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7,Satisfied,46-55
2,Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Other,STAFF-3,4.0,Male,Laboratory Technician,Single,Yes,Y,3,37,0,1373,2,Associates Degree,1,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0,Dissatisfied ,36-45
3,Yes,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-4,5.0,Female,Research Scientist,Married,Yes,Y,3,33,1,1392,3,Master's Degree,1,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0,Dissatisfied ,26-35
4,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-5,7.0,Male,Laboratory Technician,Married,No,Y,3,27,1,591,2,High School,1,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2,Satisfied,26-35
5,Yes,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-6,8.0,Male,Laboratory Technician,Single,No,Y,2,32,1,1005,2,Associates Degree,1,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6,Very Dissatisfied ,26-35
6,Yes,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-7,10.0,Female,Laboratory Technician,Married,Yes,Y,3,59,1,1324,3,Bachelor's Degree,1,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0,Very Satisfied,56 ? 
7,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-8,11.0,Male,Laboratory Technician,Divorced,No,Y,2,30,1,1358,24,High School,1,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0,Dissatisfied ,26-35
8,Yes,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-9,12.0,Male,Manufacturing Director,Single,No,Y,2,38,1,216,23,Bachelor's Degree,1,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8,Dissatisfied ,36-45
9,Yes,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-10,13.0,Male,Healthcare Representative,Married,No,Y,3,36,1,1299,27,Bachelor's Degree,1,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7,Dissatisfied ,36-45
10,Yes,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-11,14.0,Male,Laboratory Technician,Married,No,Y,5,35,1,809,16,Bachelor's Degree,1,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3,Satisfied,26-35
11,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-12,15.0,Female,Laboratory Technician,Single,Yes,Y,3,29,1,153,15,Associates Degree,1,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8,Dissatisfied ,26-35
12,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-13,16.0,Male,Research Scientist,Divorced,No,Y,1,31,1,670,26,High School,1,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3,Dissatisfied ,26-35
13,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-14,18.0,Male,Laboratory Technician,Divorced,No,Y,2,34,1,1346,19,Associates Degree,1,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2,Very Dissatisfied ,26-35
14,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-15,19.0,Male,Laboratory Technician,Single,Yes,Y,4,28,0,103,24,Bachelor's Degree,1,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3,Dissatisfied ,26-35
15,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-16,20.0,Female,Manufacturing Director,Divorced,No,Y,1,29,1,1389,21,Master's Degree,1,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8,Very Satisfied,26-35
16,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-17,21.0,Male,Research Scientist,Divorced,Yes,Y,5,32,1,334,5,Associates Degree,1,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5,Satisfied,26-35
17,Yes,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-18,22.0,Male,Laboratory Technician,Divorced,Yes,Y,2,22,1,1123,16,Associates Degree,1,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0,Very Dissatisfied ,18-25
18,Yes,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-19,23.0,Female,Manager,Married,No,Y,3,53,1,1219,2,Master's Degree,1,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7,Very Dissatisfied ,46-55
19,Yes,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-20,24.0,Male,Research Scientist,Single,Yes,Y,3,38,1,371,2,Bachelor's Degree,1,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2,Very Dissatisfied ,36-45
20,Yes,Non-Travel,Under 25,Current Employees,R&D,Other,STAFF-21,26.0,Female,Manufacturing Director,Divorced,No,Y,5,24,1,673,11,Associates Degree,1,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3,Dissatisfied ,18-25
21,Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-22,27.0,Male,Sales Representative,Single,No,Y,4,36,0,1218,9,Master's Degree,1,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3,Very Satisfied,36-45
22,Yes,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-23,28.0,Female,Research Director,Single,No,Y,4,34,1,419,7,Master's Degree,1,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11,Satisfied,26-35
23,Yes,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-24,30.0,Male,Research Scientist,Single,No,Y,6,21,1,391,15,Associates Degree,1,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0,Very Dissatisfied ,18-25
24,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-25,31.0,Male,Research Scientist,Single,No,Y,2,34,0,699,6,High School,1,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3,Very Satisfied,26-35
25,No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-26,32.0,Female,Manager,Divorced,No,Y,3,53,1,1282,5,Bachelor's Degree,1,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8,Dissatisfied ,46-55
26,Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-27,33.0,Female,Research Scientist,Single,Yes,Y,5,32,0,1125,16,High School,1,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7,Very Satisfied,26-35
27,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-28,35.0,Male,Sales Executive,Married,No,Y,2,42,1,691,8,Master's Degree,1,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2,Satisfied,36-45
28,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-29,36.0,Female,Healthcare Representative,Married,No,Y,4,44,1,477,7,Master's Degree,1,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17,Very Dissatisfied ,36-45
29,No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-30,38.0,Female,Manager,Single,No,Y,2,46,1,705,2,Master's Degree,1,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1,Very Satisfied,46-55
30,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-31,39.0,Male,Laboratory Technician,Single,No,Y,3,33,1,924,2,Bachelor's Degree,1,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0,Very Dissatisfied ,26-35
31,No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-32,40.0,Male,Healthcare Representative,Married,Yes,Y,5,44,1,1459,10,Master's Degree,1,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3,Very Dissatisfied ,36-45
32,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-33,41.0,Male,Laboratory Technician,Single,No,Y,5,30,1,125,9,Associates Degree,1,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8,Dissatisfied ,26-35
33,Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Technical Degree,STAFF-34,42.0,Male,Sales Representative,Married,No,Y,6,39,0,895,5,Bachelor's Degree,1,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0,Very Dissatisfied ,36-45
34,Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,STAFF-35,45.0,Male,Research Scientist,Married,Yes,Y,2,24,0,813,1,Bachelor's Degree,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0,Very Dissatisfied ,18-25
35,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-36,46.0,Female,Research Scientist,Divorced,No,Y,3,43,1,1273,2,Associates Degree,1,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4,Dissatisfied ,36-45
36,Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Marketing,STAFF-37,47.0,Male,Sales Representative,Married,Yes,Y,2,50,0,869,3,Associates Degree,1,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2,Dissatisfied ,46-55
37,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-38,49.0,Female,Sales Representative,Married,No,Y,3,35,1,890,2,Bachelor's Degree,1,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2,Very Dissatisfied ,26-35
38,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-39,51.0,Female,Research Scientist,Married,Yes,Y,3,36,1,852,5,Master's Degree,1,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0,Very Satisfied,36-45
39,No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-40,52.0,Female,Sales Executive,Married,No,Y,3,33,1,1141,1,Bachelor's Degree,1,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3,Very Satisfied,26-35
40,No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-41,53.0,Male,Laboratory Technician,Divorced,No,Y,3,35,1,464,4,Associates Degree,1,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0,Very Dissatisfied ,26-35
41,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-42,54.0,Female,Laboratory Technician,Divorced,No,Y,6,27,1,1240,2,Master's Degree,1,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0,Very Satisfied,26-35
42,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-43,55.0,Male,Laboratory Technician,Single,No,Y,2,26,0,1357,25,Bachelor's Degree,1,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1,Dissatisfied ,26-35
43,No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-44,56.0,Male,Sales Executive,Single,No,Y,0,27,1,994,8,Bachelor's Degree,1,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7,Dissatisfied ,26-35
44,No,Travel_Frequently,25 - 34,Current Employees,R&D,Medical,STAFF-45,57.0,Female,Laboratory Technician,Single,No,Y,2,30,1,721,1,Associates Degree,1,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7,Very Dissatisfied ,26-35
45,Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Technical Degree,STAFF-46,58.0,Female,Research Director,Married,No,Y,0,41,0,1360,12,Bachelor's Degree,1,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8,Dissatisfied ,36-45
46,No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-47,60.0,Male,Sales Executive,Single,No,Y,2,34,1,1065,23,Master's Degree,1,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7,Dissatisfied ,26-35
47,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-48,61.0,Male,Research Scientist,Married,No,Y,1,37,1,408,19,Associates Degree,1,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0,Satisfied,36-45
48,No,Travel_Frequently,45 - 54,Current Employees,Sales,Marketing,STAFF-49,62.0,Male,Sales Executive,Single,Yes,Y,4,46,1,1211,5,Master's Degree,1,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8,Very Dissatisfied ,46-55
49,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-50,63.0,Male,Laboratory Technician,Married,No,Y,2,35,1,1229,8,High School,1,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1,Very Dissatisfied ,26-35
50,Yes,Travel_Rarely,45 - 54,Ex-Employees,R&D,Life Sciences,STAFF-51,64.0,Male,Laboratory Technician,Single,Yes,Y,2,48,0,626,1,Associates Degree,1,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0,Dissatisfied ,46-55
51,Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-52,65.0,Male,Laboratory Technician,Single,Yes,Y,3,28,0,1434,5,Master's Degree,1,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2,Dissatisfied ,26-35
52,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-53,68.0,Female,Sales Executive,Divorced,Yes,Y,2,44,1,1488,1,Doctoral Degree,1,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3,Very Satisfied,36-45
53,No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-54,70.0,Male,Healthcare Representative,Married,Yes,Y,3,35,1,1097,11,Associates Degree,1,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3,Very Satisfied,26-35
54,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-55,72.0,Female,Sales Executive,Married,Yes,Y,2,26,1,1443,23,Bachelor's Degree,1,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0,Very Dissatisfied ,26-35
55,No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-56,73.0,Female,Research Director,Single,Yes,Y,1,33,1,515,1,Associates Degree,1,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12,Very Dissatisfied ,26-35
56,No,Travel_Frequently,35 - 44,Current Employees,Sales,Life Sciences,STAFF-57,74.0,Male,Sales Executive,Married,No,Y,3,35,1,853,18,Doctoral Degree,1,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8,Very Satisfied,26-35
57,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-58,75.0,Female,Laboratory Technician,Married,Yes,Y,3,35,1,1142,23,Master's Degree,1,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2,Very Satisfied,26-35
58,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-59,76.0,Male,Laboratory Technician,Divorced,No,Y,3,31,1,655,7,Master's Degree,1,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7,Very Dissatisfied ,26-35
59,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-60,77.0,Male,Manufacturing Director,Divorced,No,Y,2,37,1,1115,1,Master's Degree,1,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7,Dissatisfied ,36-45
60,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-61,78.0,Male,Manufacturing Director,Married,Yes,Y,3,32,1,427,1,Bachelor's Degree,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8,Very Dissatisfied ,26-35
61,No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-62,79.0,Female,Laboratory Technician,Single,No,Y,2,38,1,653,29,Doctoral Degree,1,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9,Very Dissatisfied ,36-45
62,No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-63,80.0,Female,Research Director,Divorced,Yes,Y,2,50,1,989,7,Associates Degree,1,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8,Dissatisfied ,46-55
63,No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-64,81.0,Female,Sales Executive,Single,No,Y,3,59,1,1435,25,Bachelor's Degree,1,1,99,3,3,1,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9,Very Satisfied,56 ? 
64,No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-65,83.0,Female,Healthcare Representative,Divorced,No,Y,2,36,1,1223,8,Bachelor's Degree,1,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8,Dissatisfied ,36-45
65,No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-66,84.0,Female,Manager,Divorced,Yes,Y,2,55,1,836,8,Bachelor's Degree,1,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2,Dissatisfied ,46-55
66,No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-67,85.0,Male,Manufacturing Director,Single,No,Y,3,36,1,1195,11,Bachelor's Degree,1,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3,Satisfied,36-45
67,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-68,86.0,Male,Research Scientist,Divorced,No,Y,2,45,1,1339,7,Bachelor's Degree,1,2,59,3,3,1,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0,Very Satisfied,36-45
68,No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-69,88.0,Male,Research Scientist,Married,No,Y,2,35,1,664,1,Bachelor's Degree,1,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2,Very Satisfied,26-35
69,Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Medical,STAFF-70,90.0,Male,Research Scientist,Married,Yes,Y,0,36,0,318,9,Bachelor's Degree,1,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0,Dissatisfied ,36-45
70,No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,STAFF-71,91.0,Female,Sales Executive,Single,No,Y,2,59,1,1225,1,High School,1,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3,Dissatisfied ,56 ? 
71,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-72,94.0,Male,Research Scientist,Married,No,Y,3,29,1,1328,2,Bachelor's Degree,1,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4,Satisfied,26-35
72,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-73,95.0,Male,Research Scientist,Single,No,Y,4,31,1,1082,1,Master's Degree,1,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0,Satisfied,26-35
73,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-74,96.0,Male,Research Scientist,Married,No,Y,3,32,1,548,1,Bachelor's Degree,1,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9,Satisfied,26-35
74,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-75,97.0,Female,Laboratory Technician,Married,No,Y,3,36,1,132,6,Bachelor's Degree,1,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0,Very Dissatisfied ,36-45
75,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-76,98.0,Female,Manufacturing Director,Single,No,Y,2,31,1,746,8,Master's Degree,1,3,61,3,2,4,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8,Very Dissatisfied ,26-35
76,No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-77,100.0,Male,Sales Executive,Single,No,Y,2,35,1,776,1,Master's Degree,1,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8,Very Satisfied,26-35
77,No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-78,101.0,Male,Research Director,Married,Yes,Y,3,45,1,193,6,Master's Degree,1,4,52,3,3,1,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0,Very Satisfied,36-45
78,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-79,102.0,Male,Research Director,Single,No,Y,3,37,1,397,7,Master's Degree,1,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2,Dissatisfied ,36-45
79,No,Travel_Rarely,45 - 54,Current Employees,HR,Medical,STAFF-80,103.0,Male,Human Resources,Divorced,Yes,Y,2,46,1,945,5,Associates Degree,1,2,80,3,2,2,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2,Satisfied,46-55
80,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-81,104.0,Male,Laboratory Technician,Married,Yes,Y,1,30,1,852,1,High School,1,4,55,2,2,4,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0,Very Dissatisfied ,26-35
81,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-82,105.0,Male,Research Scientist,Single,No,Y,3,35,1,1214,1,Bachelor's Degree,1,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4,Dissatisfied ,26-35
82,No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-83,106.0,Male,Sales Executive,Married,No,Y,4,55,1,111,1,Associates Degree,1,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0,Very Dissatisfied ,46-55
83,No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-84,107.0,Female,Research Scientist,Divorced,Yes,Y,3,38,1,573,6,Bachelor's Degree,1,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9,Very Dissatisfied ,36-45
84,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-85,110.0,Male,Manufacturing Director,Married,No,Y,2,34,1,1153,1,Associates Degree,1,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3,Satisfied,26-35
85,No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-86,112.0,Male,Manufacturing Director,Single,No,Y,3,56,1,1400,7,Bachelor's Degree,1,4,49,1,3,4,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2,Very Dissatisfied ,56 ? 
86,No,Travel_Rarely,Under 25,Current Employees,Sales,Technical Degree,STAFF-87,113.0,Male,Sales Representative,Divorced,No,Y,3,23,1,541,2,High School,1,3,62,3,1,1,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0,Very Satisfied,18-25
87,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-88,116.0,Male,Laboratory Technician,Married,No,Y,4,51,1,432,9,Master's Degree,1,4,96,3,1,4,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3,Very Dissatisfied ,46-55
88,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-89,117.0,Male,Healthcare Representative,Married,No,Y,3,30,1,288,2,Bachelor's Degree,1,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8,Very Dissatisfied ,26-35
89,Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Medical,STAFF-90,118.0,Male,Sales Executive,Single,No,Y,3,46,0,669,9,Associates Degree,1,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7,Very Dissatisfied ,46-55
